--------------------
Worker: Wallace, level: 31, craft time coefficient: 0.41
Worker: Julia, level: 31, craft time coefficient: 0.41
Worker: Allan, level: 29, craft time coefficient: 0.43
Worker: Maribel, level: 29, craft time coefficient: 0.43
Worker: Grimar, level: 30, craft time coefficient: 0.43
Worker: Katarina, level: 29, craft time coefficient: 0.43
Worker: Freyja, level: 29, craft time coefficient: 0.43
Worker: Theodore, level: 31, craft time coefficient: 0.41
Worker: Evelyn, level: 30, craft time coefficient: 0.43
Worker: Roxanne, level: 27, craft time coefficient: 0.46
--------------------
Building IronMine, level: 16, regen rate: 22.88
Building Lumberyard, level: 16, regen rate: 22.88
Building Tannery, level: 16, regen rate: 22.88
Building Garden, level: 16, regen rate: 22.88
Building Smelter, level: 15, regen rate: 6.15
Building Sawmill, level: 15, regen rate: 6.15
Building WeaverMill, level: 15, regen rate: 6.15
Building OilPress, level: 15, regen rate: 6.15
Building EtherWell, level: 15, regen rate: 1.2
Building JewelStorehouse, level: 15, regen rate: 1.2
--------------------
             name             |           value/minute/slot            |           profit/minute/slot           |            iron/minute/slot            |            wood/minute/slot            |          leather/minute/slot           |           herbs/minute/slot            |           steel/minute/slot            |          ironwood/minute/slot          |           fabric/minute/slot           |            oils/minute/slot            |           ether/minute/slot            |           jewels/minute/slot           |               value/iron               |               value/wood               |             value/leather              |              value/herbs               |              value/steel               |             value/ironwood             |              value/fabric              |               value/oils               |              value/ether               |              value/jewels              |
         L'Arabesque          |                2314.815                |                2314.815                |                  0.0                   |                 3.167                  |                  0.0                   |                 0.996                  |                  0.0                   |                 0.792                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                730.847                 |                  0.0                   |                2323.718                |                  0.0                   |                2923.387                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
             Yumi             |                2799.882                |                2799.882                |                  0.0                   |                 2.016                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.672                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.047                  |                  0.0                   |                1388.889                |                  0.0                   |                  0.0                   |                  0.0                   |                4166.667                |                  0.0                   |                  0.0                   |                  0.0                   |                59375.0                 |
          Cupid Bow           |                2760.874                |                2760.874                |                  0.0                   |                  1.65                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.451                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.054                  |                  0.0                   |                1673.497                |                  0.0                   |                  0.0                   |                  0.0                   |                 6125.0                 |                  0.0                   |                  0.0                   |                  0.0                   |               51041.667                |
         Bramblebane          |                4328.083                |                4328.083                |                  0.0                   |                 2.214                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.761                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.079                  |                  0.0                   |                1955.128                |                  0.0                   |                  0.0                   |                  0.0                   |                5690.299                |                  0.0                   |                  0.0                   |                  0.0                   |               54464.286                |
        Maplewood Gale        |                4523.201                |                4523.201                |                  0.0                   |                 1.762                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.494                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.068                  |                  0.0                   |                2566.425                |                  0.0                   |                  0.0                   |                  0.0                   |                9159.483                |                  0.0                   |                  0.0                   |                  0.0                   |                66406.25                |
        Gemini Strike         |               10756.654                |               10756.654                |                  0.0                   |                 3.169                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.902                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.164                  |                  0.0                   |                3394.397                |                  0.0                   |                  0.0                   |                  0.0                   |               11931.818                |                  0.0                   |                  0.0                   |                  0.0                   |                65625.0                 |
        Carved Branch         |                827.586                 |                827.586                 |                  0.0                   |                 9.195                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  90.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Sturdy Cane          |                571.429                 |                571.429                 |                  0.0                   |                 3.941                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 145.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Oak Staff           |                1011.494                |                1011.494                |                  0.0                   |                 12.644                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  80.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Owl Perch           |                 1400.0                 |                 1400.0                 |                  0.0                   |                 7.816                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                179.118                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
       Luxurious Stick        |                7183.908                |                7183.908                |                  0.0                   |                 8.621                  |                  0.0                   |                 5.172                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                833.333                 |                  0.0                   |                1388.889                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Bo Staff           |                1751.505                |                1751.505                |                 3.003                  |                 10.509                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                583.333                 |                166.667                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
       Apprentice Staff       |                2113.886                |                2113.886                |                  0.0                   |                  7.61                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                277.778                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Jade Scepter         |                1582.542                |                1582.542                |                  0.0                   |                 5.197                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.066                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                304.487                 |                  0.0                   |                  0.0                   |                  0.0                   |                1484.375                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Amber Staff          |                1717.532                |                1717.532                |                  0.0                   |                 5.073                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.423                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                338.542                 |                  0.0                   |                  0.0                   |                  0.0                   |                 4062.5                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Wizard Staff         |                2264.02                 |                2264.02                 |                  0.0                   |                 4.403                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.115                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                514.241                 |                  0.0                   |                  0.0                   |                  0.0                   |                2031.25                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
       Staff of Seasons       |                2463.054                |                2463.054                |                  0.0                   |                 2.934                  |                  0.0                   |                  0.0                   |                  0.0                   |                 1.007                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                839.552                 |                  0.0                   |                  0.0                   |                  0.0                   |                2445.652                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
       Celestial Staff        |                2107.28                 |                2107.28                 |                  0.0                   |                 3.149                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.808                  |                  0.0                   |                 0.502                  |                  0.0                   |                  0.0                   |                  0.0                   |                669.248                 |                  0.0                   |                  0.0                   |                  0.0                   |                2607.759                |                  0.0                   |                4201.389                |                  0.0                   |                  0.0                   |
       Imperial Aquila        |                2873.563                |                2873.563                |                  0.0                   |                 2.031                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.524                  |                  0.0                   |                  0.0                   |                 0.089                  |                  0.0                   |                  0.0                   |                1415.094                |                  0.0                   |                  0.0                   |                  0.0                   |                5487.805                |                  0.0                   |                  0.0                   |               32142.857                |                  0.0                   |
        Phoenix Staff         |                3218.391                |                3218.391                |                  0.0                   |                 2.097                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.564                  |                  0.0                   |                  0.0                   |                 0.074                  |                  0.0                   |                  0.0                   |                1535.088                |                  0.0                   |                  0.0                   |                  0.0                   |                5706.522                |                  0.0                   |                  0.0                   |                43750.0                 |                  0.0                   |
        Transcendence         |                3831.418                |                3831.418                |                  0.0                   |                 1.992                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.685                  |                  0.0                   |                  0.0                   |                 0.102                  |                  0.0                   |                  0.0                   |                1923.077                |                  0.0                   |                  0.0                   |                  0.0                   |                5597.015                |                  0.0                   |                  0.0                   |                37500.0                 |                  0.0                   |
         Tidebringer          |                3779.642                |                3779.642                |                  0.0                   |                 1.715                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.48                  |                  0.0                   |                  0.0                   |                 0.108                  |                  0.0                   |                  0.0                   |                2204.106                |                  0.0                   |                  0.0                   |                  0.0                   |                7866.379                |                  0.0                   |                  0.0                   |               35096.154                |                  0.0                   |
        Zesty Scepter         |                4452.729                |                4452.729                |                  0.0                   |                 1.715                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.48                  |                  0.0                   |                  0.0                   |                 0.108                  |                  0.0                   |                  0.0                   |                2596.618                |                  0.0                   |                  0.0                   |                  0.0                   |                9267.241                |                  0.0                   |                  0.0                   |               41346.154                |                  0.0                   |
           Seraphim           |                9862.964                |                9862.964                |                  0.0                   |                 2.838                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.807                  |                  0.0                   |                  0.0                   |                  0.22                  |                  0.0                   |                  0.0                   |                3475.216                |                  0.0                   |                  0.0                   |                  0.0                   |               12215.909                |                  0.0                   |                  0.0                   |               44791.667                |                  0.0                   |
            Baton             |                754.386                 |                754.386                 |                  0.0                   |                 3.509                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 215.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Elvenwood Wand        |                909.682                 |                909.682                 |                  0.0                   |                 6.758                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                134.615                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
         Hexer's Wand         |                1205.978                |                1205.978                |                  0.0                   |                 6.238                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                193.333                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Steel Rod           |                1703.815                |                1703.815                |                 1.604                  |                 4.812                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                1062.222                |                354.074                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Star Rod           |                2003.465                |                2003.465                |                  0.0                   |                 4.159                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.866                  |                  0.0                   |                  0.78                  |                  0.0                   |                  0.0                   |                  0.0                   |                481.771                 |                  0.0                   |                  0.0                   |                  0.0                   |                 2312.5                 |                  0.0                   |                2569.444                |                  0.0                   |                  0.0                   |
           Sylvanel           |                2979.671                |                2979.671                |                  0.0                   |                  3.52                  |                  0.0                   |                 1.114                  |                  0.0                   |                 0.891                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                846.519                 |                  0.0                   |                 2675.0                 |                  0.0                   |                3343.75                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Ruby Wand           |                2998.95                 |                2998.95                 |                  0.0                   |                 2.711                  |                  0.0                   |                  0.0                   |                 0.216                  |                 0.696                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                1106.195                |                  0.0                   |                  0.0                   |               13888.889                |                4310.345                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Wand of Midas         |                3537.651                |                3537.651                |                  0.0                   |                 1.837                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.589                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.058                  |                  0.0                   |                1926.101                |                  0.0                   |                  0.0                   |                  0.0                   |                6004.902                |                  0.0                   |                  0.0                   |                  0.0                   |                61250.0                 |
        Evergreen Wand        |                3654.971                |                3654.971                |                  0.0                   |                 1.754                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.61                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.11                  |                  0.0                   |                2083.333                |                  0.0                   |                  0.0                   |                  0.0                   |                5989.583                |                  0.0                   |                  0.0                   |                  0.0                   |               33173.077                |
         Equinox Rod          |                3544.214                |                3544.214                |                  0.0                   |                 1.559                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.439                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.106                  |                  0.0                   |                2272.727                |                  0.0                   |                  0.0                   |                  0.0                   |                8064.516                |                  0.0                   |                  0.0                   |                  0.0                   |               33333.333                |
       Astral Conductor       |                7256.473                |                7256.473                |                  0.0                   |                 2.139                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.611                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.175                  |                  0.0                   |                3392.857                |                  0.0                   |                  0.0                   |                  0.0                   |                11875.0                 |                  0.0                   |                  0.0                   |                  0.0                   |                41562.5                 |
     Grimar's Grand Wand      |                7445.015                |                7445.015                |                  0.0                   |                 2.085                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.596                  |                  0.0                   |                  0.0                   |                  0.17                  |                  0.0                   |                  0.0                   |                3571.429                |                  0.0                   |                  0.0                   |                  0.0                   |                12500.0                 |                  0.0                   |                  0.0                   |                43750.0                 |                  0.0                   |
        Light Crossbow        |                1363.934                |                1363.934                |                  0.0                   |                 31.475                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 43.333                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Hand Crossbow         |                1412.358                |                1412.358                |                  0.0                   |                 20.177                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  70.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Arbalest           |                1181.509                |                1181.509                |                  0.0                   |                 7.089                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                166.667                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
        Heavy Crossbow        |                1959.58                 |                1959.58                 |                  0.0                   |                 7.217                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                271.538                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
      Hunter's Crossbow       |                2053.32                 |                2053.32                 |                  0.0                   |                 4.557                  |                  0.0                   |                  1.06                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                450.581                 |                  0.0                   |                 1937.5                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Scorpio            |                1821.494                |                1821.494                |                  0.0                   |                 3.622                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.833                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                502.874                 |                  0.0                   |                  0.0                   |                  0.0                   |                 2187.5                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
       Double Crossbow        |                3157.256                |                3157.256                |                  0.0                   |                 2.662                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.758                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                1186.131                |                  0.0                   |                  0.0                   |                  0.0                   |                4166.667                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Chu-Ko-Nu           |                2638.025                |                2638.025                |                  0.0                   |                 1.759                  |                  0.0                   |                  0.0                   |                 0.261                  |                 0.412                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 1500.0                 |                  0.0                   |                  0.0                   |               10096.154                |                6402.439                |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
       Triple Crossbow        |                3759.478                |                3759.478                |                  0.0                   |                 1.932                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.61                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.11                  |                  0.0                   |                1946.272                |                  0.0                   |                  0.0                   |                  0.0                   |                6163.194                |                  0.0                   |                  0.0                   |                  0.0                   |               34134.615                |
        Super Repeater        |                8216.793                |                8216.793                |                  0.0                   |                 2.559                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.662                  |                  0.0                   |                  0.0                   |                  0.0                   |                 0.181                  |                  0.0                   |                3210.784                |                  0.0                   |                  0.0                   |                  0.0                   |               12405.303                |                  0.0                   |                  0.0                   |                  0.0                   |               45486.111                |
          Pellet Gun          |                2163.934                |                2163.934                |                 43.716                 |                 21.858                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  49.5                  |                  99.0                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
           Handgun            |                1923.497                |                1923.497                |                 27.61                  |                 12.885                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 69.667                 |                149.286                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
          Smoothbore          |                1138.472                |                1138.472                |                 6.697                  |                 4.093                  |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                 170.0                  |                278.182                 |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |                  0.0                   |
